Player,Team,PAT,FG,1-19,20-29,30-39,40-49,50+,Lg,Pts,,,,,,,,,,
Matthew Dapore,AFA,24/24,7/9,1/1,1/1,4/6,1/1,0/0,49,45,,,,,,,,,,
Cory Smigel,AKR,29/30,7/11,1/1,1/1,4/5,1/3,0/1,40,50,,,,,,,,,,
Will Reichard,ALA,68/69,16/20,0/0,3/3,7/8,5/7,1/2,51,116,,,,,,,,,,
Chandler Staton,APP,52/52,19/20,0/0,8/8,5/6,6/6,0/0,48,109,,,,,,,,,,
Christian Zendejas,ASU,39/40,6/9,0/0,4/4,1/4,1/1,0/0,40,57,,,,,,,,,,
Cam Little,ARK,43/43,19/23,0/0,7/7,5/6,6/7,1/3,51,100,,,,,,,,,,
Cole Talley,ARMY,41/43,7/9,0/0,3/4,4/4,0/1,0/0,33,62,,,,,,,,,,
Blake Grupe,ARST,31/32,20/25,0/0,4/4,10/12,5/8,1/1,50,91,,,,,,,,,,
Anders Carlson,AUB,35/36,14/21,0/0,6/6,2/4,6/8,0/3,49,77,,,,,,,,,,
Isaiah Hankins,BAY,54/54,14/20,0/0,5/5,6/8,3/5,0/2,48,96,,,,,,,,,,
Connor Lytton,BC,25/25,11/12,0/0,4/4,5/6,2/2,0/0,49,58,,,,,,,,,,
Nate Needham,BGSU,25/26,19/20,0/0,4/4,3/3,10/11,2/2,52,82,,,,,,,,,,
Jonah Dalmas,BSU,38/39,26/27,0/0,11/11,9/10,6/6,0/1,47,116,,,,,,,,,,
Alex McNulty,BUFF,36/36,12/20,0/0,2/3,5/5,3/6,2/6,55,72,,,,,,,,,,
Jake Oldroyd,BYU,38/39,9/13,0/0,1/1,6/7,2/4,0/1,49,65,,,,,,,,,,
Dario Longhetto,CAL,31/31,11/14,0/0,4/4,3/3,3/5,1/2,51,64,,,,,,,,,,
Massimo Biscardi,CCU,46/47,7/8,1/1,2/2,1/1,2/3,1/1,50,67,,,,,,,,,,
Jonathan Cruz,CHAR,40/41,10/15,0/0,3/4,4/5,2/5,1/1,56,70,,,,,,,,,,
B.T. Potter,CLEM,36/36,19/23,1/1,2/2,5/7,10/11,1/2,50,93,,,,,,,,,,
Marshall Meeder,CMU,48/50,14/21,0/0,0/1,7/8,5/9,2/3,51,90,,,,,,,,,,
Cole Becker,COLO,25/25,14/20,1/1,3/3,5/6,2/6,3/4,56,67,,,,,,,,,,
Cayden Camper,CSU,27/27,25/32,0/0,14/15,5/8,5/8,1/1,53,102,,,,,,,,,,
Charlie Ham,DUKE,32/32,14/20,0/0,7/7,4/6,2/4,1/3,50,74,,,,,,,,,,
Owen Daffer,ECU,39/41,19/23,0/0,9/9,8/10,1/3,1/1,54,96,,,,,,,,,,
Chad Ryland,EMU,45/45,17/20,0/0,3/3,8/10,4/5,2/2,55,96,,,,,,,,,,
Aaron Shahriari,FAU,33/34,7/10,0/0,4/4,3/4,0/2,0/0,38,54,,,,,,,,,,
Chase Gabriel,FIU,28/31,8/13,1/1,4/5,0/2,2/4,1/1,53,52,,,,,,,,,,
Cesar Silva,FRES,31/31,13/16,0/0,3/3,1/1,8/10,1/2,51,70,,,,,,,,,,
Ryan Fitzgerald,FSU,37/40,10/13,0/0,3/3,4/5,2/3,1/2,53,67,,,,,,,,,,
Noel Ruiz,GAST,39/41,10/12,0/0,2/2,5/5,2/4,1/1,50,69,,,,,,,,,,
Alex Raynor,GSU,21/22,9/14,0/0,3/3,4/5,2/4,0/2,44,48,,,,,,,,,,
Brent Cimaglia,GT,31/33,11/15,0/0,5/5,6/6,0/2,0/2,37,64,,,,,,,,,,
Matthew Shipley,HAW,42/42,18/21,0/0,7/7,4/4,7/10,0/0,49,96,,,,,,,,,,
Dalton Witherspoon,HOU,57/58,15/23,1/1,5/5,5/7,3/8,1/2,50,102,,,,,,,,,,
James McCourt,ILL,26/26,18/23,0/0,5/6,5/5,4/4,4/8,53,80,,,,,,,,,,
Charles Campbell,IND,20/20,13/18,0/0,4/4,2/4,6/8,1/2,55,59,,,,,,,,,,
Caleb Shudak,IOWA,34/34,23/27,0/0,5/6,7/8,7/7,4/6,51,103,,,,,,,,,,
Andrew Mevis,ISU,31/31,18/20,0/0,5/5,4/4,7/9,2/2,54,85,,,,,,,,,,
Jacob Borcila,KAN,26/27,9/15,0/0,2/2,2/5,4/6,1/2,50,53,,,,,,,,,,
Andrew Glass,KENT,45/46,20/25,0/0,6/8,11/13,3/4,0/0,43,105,,,,,,,,,,
James Turner,LOU,46/48,14/21,0/0,4/5,4/4,6/9,0/3,46,88,,,,,,,,,,
Cade York,LSU,39/39,15/18,0/0,4/4,3/3,3/4,5/7,56,84,,,,,,,,,,
Jacob Barnes,LT,39/39,17/21,0/0,6/6,6/7,5/8,0/0,47,90,,,,,,,,,,
Shane Ciucci,MARSH,38/38,6/8,0/0,3/3,1/3,2/2,0/0,46,56,,,,,,,,,,
Graham Nicholson,MIA (O),34/38,13/17,0/0,6/7,2/3,5/6,0/1,49,73,,,,,,,,,,
Andres Borregales,MIA,45/45,17/21,0/0,7/8,5/7,4/5,1/1,55,96,,,,,,,,,,
Jake Moody,MICH,56/56,22/24,0/0,6/6,12/12,3/5,1/1,52,122,,,,,,,,,,
Matthew Trickett,MINN,35/37,16/23,0/0,4/5,8/9,3/5,1/4,50,83,,,,,,,,,,
Caden Costa,MISS,46/48,14/17,0/0,4/4,5/5,4/6,1/2,50,88,,,,,,,,,,
Harrison Mevis,MIZZ,40/40,20/22,1/1,1/1,4/4,11/13,3/3,56,100,,,,,,,,,,
Matt Coghlin,MSU,39/39,11/17,0/0,7/7,2/4,1/3,1/3,51,72,,,,,,,,,,
Zeke Rankin,MTSU,44/45,10/14,0/0,7/7,2/4,1/3,0/0,46,74,,,,,,,,,,
Charlie Kuhbander,NU,21/21,6/13,0/0,4/5,1/5,1/3,0/0,47,39,,,,,,,,,,
Connor Culp,NEB,28/32,6/12,0/0,3/4,1/4,0/1,2/3,51,46,,,,,,,,,,
Bijan Nichols,NAVY,28/28,15/19,0/0,6/6,5/5,3/4,1/4,50,73,,,,,,,,,,
Christopher Dunn,NCST,48/48,13/19,0/0,4/4,5/7,4/5,0/3,46,87,,,,,,,,,,
Jonathan Doerer,ND,47/48,16/20,0/0,6/6,4/6,5/6,1/2,51,95,,,,,,,,,,
Brandon Talton,NEV,49/49,21/29,0/0,4/4,8/10,7/10,2/5,52,112,,,,,,,,,,
John Richardson,NIU,42/42,22/27,0/0,10/11,6/8,6/7,0/1,47,108,,,,,,,,,,
Ethan Albertson,NMSU,28/30,17/22,0/0,4/6,7/8,3/5,3/3,50,79,,,,,,,,,,
Nick Rice,ODU,39/41,20/26,1/1,5/7,8/9,5/7,1/2,50,99,,,,,,,,,,
Gabe Brkic,OKLA,52/52,18/24,0/0,7/8,3/4,3/5,5/7,56,106,,,,,,,,,,
